Fecha Transferencia,Fecha Producción,Fecha Descongelamiento,Línea celular,Tipo celular,Días de cultivo celular,% Confluencia,Cantidad de Pasajes bool,Cantidad de Pasajes numeric,"Tiempo con bajo suero (DMEM 0,5% SFB) en horas",Origen,% Maduración,Calidad,% Clivaje,Medio Placas del día,Día cambio de medio,Día de evolución,Grado embrionario,Fragmentación celular,ø Eje menor,ø Eje mayor,Tipo de ovocito,Tipo embrión,Yegua receptora N°,Días post-ovulación,Preñez,Nacimientos
23/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D7,II,No,778.3,807.5,Con ZP,Fresco,205,5,Exitosa,EXITOSO
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,751.2,765,Con ZP,Fresco,428 LV,4,Exitosa,EXITOSO
24/8/2023,17/8/2023,9/8/2023,FINN LENTE K384,FB-E,8,100,0,2,72,Extranjero,56.06,Sin observaciones,50,F12,5,D7,II,No,722,724.3,Con ZP,Fresco,625,4,Exitosa,EXITOSO
24/8/2023,16/8/2023,10/8/2023,E9-Emiratos K367,FB-E,6,100,1,2,48,Extranjero,55.2,Sin observaciones,37.74,F12,5,D8,II,Sí,730.7,737.9,Con ZP,Fresco,702,5,Exitosa,EXITOSO
13/9/2023,6/9/2023,30/8/2023,WILSON K359,MSC-E,7,100,0,1,120,Local,53.94,Sin observaciones,41.84,F12,6,D7,II,No,804.5,890.3,Con ZP,Fresco,29,5,Exitosa,EXITOSO
19/9/2023,12/9/2023,6/9/2023,L.D. TORO K001,MSC-E,6,100,0,1,96,Local,53.91,Feos,46.46,F12,6,D7,II,No,799.6,802.4,Con ZP,Fresco,398,4,Exitosa,EXITOSO
20/9/2023,13/9/2023,6/9/2023,L.D. TORO K001,MSC-E,7,50,0,3,0,Local,40.84,Feos,40.26,Global,5,D7,II,No,809.9,815.7,Con ZP,Fresco,R97,5,Exitosa,EXITOSO
21/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D7,II,No,737.2,830.3,Con ZP,Fresco,545,4,Exitosa,EXITOSO
22/9/2023,14/9/2023,6/9/2023,L.D. TORO K001,MSC-E,8,50,0,3,0,Local,49.28,Feos,38.3,Global,5,D8,III,No,632.1,752,Con ZP,Fresco,567,5,Exitosa,EXITOSO
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,II,No,799.3,810.7,Con ZP,Fresco,320,4,Exitosa,EXITOSO
28/9/2023,21/9/2023,13/9/2023,Cuartetera K230,MSC-E,8,100,0,1,72,Local,57.93,Sin observaciones,35.4,Global,5,D7,III,Sí,543.8,582.5,Con ZP,Fresco,209,4,Exitosa,EXITOSO
4/10/2023,27/9/2023,20/9/2023,Urraca K347,FB-E,7,100,0,3,24,Extranjero,62.7,Sin observaciones,32.11,F12,5,D7,II,No,675.8,700.7,Con ZP,Fresco,371,5,Exitosa,EXITOSO
5/10/2023,28/9/2023,21/9/2023,Open Suma K291,MSC-E,7,100,0,1,72,Local,63.37,Sin observaciones,37.38,F12,5,D7,III,Sí,576.3,620.8,Con ZP,Fresco,614,5,Exitosa,EXITOSO
12/10/2023,5/10/2023,29/9/2023,Ro Shy Dandy K401,MSC-E,6,100,0,1,24,Local,57.17,Sin observaciones,49.58,F12,5,D7,II,No,870.1,870.7,Con ZP,Fresco,408,4,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,I,No,,,Con ZP,Fresco,491,5,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,575,5,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,569,5,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,593,5,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,710,5,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,II,No,,,Con ZP,Fresco,598 LV,5,Exitosa,EXITOSO
18/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D7,III,No,,,Con ZP,Fresco,580,5,Exitosa,EXITOSO
19/10/2023,11/10/2023,4/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,120,Local,64.53,Sin observaciones,34.91,Global,5,D8,II,No,760.4,818.1,Con ZP,Fresco,384,4,Exitosa,EXITOSO
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,I,No,850,865.9,Con ZP,Fresco,549,4,Exitosa,EXITOSO
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,I,No,833.8,915.7,Con ZP,Fresco,342,4,Exitosa,EXITOSO
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,II,Sí,694.1,759.4,Con ZP,Fresco,662,4,Exitosa,EXITOSO
19/10/2023,12/10/2023,5/10/2023,La Dolfina Roxy K184,MSC-E,7,100,0,1,72,Local,53.24,Sin observaciones,45.79,Global,5,D7,II,No,663.4,795,Con ZP,Fresco,275,4,Exitosa,EXITOSO
25/10/2023,18/10/2023,11/10/2023,Salpicada K348,FB-E,7,100,0,3,48,Extranjero,61.31,Sin observaciones,40,Global,5,D7,II,No,765,782.4,Con ZP,Fresco,338 LV,5,Exitosa,SIN ÉXITO
31/10/2023,24/10/2023,19/10/2023,Santa Ana K372,MSC-E,5,100,0,1,96,Local,58.85,Sin observaciones,50,Global,6,D7,II,No,858.4,879.1,Con ZP,Fresco,505,4,Exitosa,EXITOSO
2/11/2023,25/10/2023,19/10/2023,Micky Plaza  K333,FB-E,6,100,0,1,48,Extranjero,61.68,Sin observaciones,40,Global,5,D8,II,No,802.7,811.9,Con ZP,Fresco,343,5,Exitosa,EXITOSO
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,No,752.8,771.4,Con ZP,Fresco,289,5,Exitosa,EXITOSO
7/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D7,II,Sí,731.2,812.4,Con ZP,Fresco,370,4,Exitosa,EXITOSO
8/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D8,II,No,768.1,782.2,Con ZP,Fresco,1568,5,Exitosa,EXITOSO
9/11/2023,31/10/2023,25/10/2023,Wonder Mask K400,MSC-E,6,100,0,1,24,Local,63.66,Sin observaciones,26.55,F12,6,D9,III,Sí,589.5,595.6,Con ZP,Fresco,419 LV,4,Exitosa,EXITOSO
9/11/2023,2/11/2023,26/10/2023,Fina Chelsea K377,MSC-E,7,100,0,1,72,Local,64.42,Sin observaciones,36.84,F12,5,D7,II,No,678.7,684.1,Con ZP,Fresco,164,4,Exitosa,EXITOSO
9/11/2023,2/11/2023,26/10/2023,Fina Chelsea K377,MSC-E,7,100,0,1,72,Local,64.42,Sin observaciones,36.84,F12,5,D7,II,No,724.9,761.5,Con ZP,Fresco,694,4,Exitosa,EXITOSO
10/11/2023,2/11/2023,26/10/2023,Fina Chelsea K377,MSC-E,7,100,0,1,72,Local,64.42,Sin observaciones,36.84,F12,5,D8,III,Sí,618.6,672.2,Con ZP,Fresco,737,5,Exitosa,EXITOSO
15/11/2023,8/11/2023,1/11/2023,Cuartetera K230,MSC-E,7,100,0,1,48,Local,64.31,Feos,63.16,Global,5,D7,II,Sí,670.8,732.2,Con ZP,Fresco,1569,5,Exitosa,EXITOSO
16/11/2023,8/11/2023,1/11/2023,Cuartetera K230,MSC-E,7,100,0,1,48,Local,64.31,Feos,63.16,Global,5,D8,II,No,747.6,770.2,Con ZP,Fresco,528,4,Exitosa,EXITOSO
16/11/2023,9/11/2023,1/11/2023,Marajá K351,MSC-E,8,100,0,1,72,Local,64.46,Sin observaciones,48.7,Global,5,D7,III,Sí,588.2,641.4,Con ZP,Fresco,206,4,Exitosa,EXITOSO
21/11/2023,14/11/2023,8/11/2023,Show Down K375,MSC-E,6,100,0,1,24,Local,64.19,Sin observaciones,41.74,Global,6,D7,III,No,619.2,641,Con ZP,Fresco,264,4,Exitosa,EXITOSO
22/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D7,II,No,773,780.8,Con ZP,Fresco,668,5,Exitosa,EXITOSO
22/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D7,II,No,866.2,886.4,Con ZP,Fresco,650,5,Exitosa,EXITOSO
22/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D7,II,No,855.2,860.4,Con ZP,Fresco,696,5,Exitosa,EXITOSO
22/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D7,II,No,770.1,793.5,Con ZP,Fresco,082 LV,5,Exitosa,EXITOSO
23/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D8,III,Sí,719.4,724.4,Con ZP,Fresco,595,5,Exitosa,EXITOSO
23/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D8,II,No,865.6,870.1,Con ZP,Fresco,419,4,Exitosa,EXITOSO
23/11/2023,15/11/2023,8/11/2023,Federica K213,MSC-E,7,100,0,1,48,Local,59.18,Feos,58.82,Global,5,D8,II,No,883.8,891.6,Con ZP,Fresco,564,5,Exitosa,EXITOSO
23/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D7,II,Sí,812.4,868.5,Con ZP,Fresco,475,4,Exitosa,EXITOSO
23/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D7,II,No,788.3,810.5,Con ZP,Fresco,703,4,Exitosa,EXITOSO
23/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D7,II,Sí,708.4,771.3,Con ZP,Fresco,339,4,Exitosa,EXITOSO
23/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D7,II,Sí,665.6,723.4,Con ZP,Fresco,386,4,Exitosa,EXITOSO
23/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D7,II,No,762.4,770.5,Con ZP,Fresco,3474,4,Exitosa,EXITOSO
24/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D8,II,No,904.1,907.4,Con ZP,Fresco,1572,5,Exitosa,EXITOSO
24/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D8,II,No,774.8,783.6,Con ZP,Fresco,664,5,Exitosa,EXITOSO
24/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D8,II,No,810.2,821.1,Con ZP,Fresco,500,5,Exitosa,EXITOSO
24/11/2023,16/11/2023,9/11/2023,Banelco K373,MSC-E,7,100,0,1,72,Local,59.51,Feos,65.29,Global,5,D8,II,Sí,773.9,774.6,Con ZP,Fresco,224,5,Exitosa,EXITOSO
29/11/2023,22/11/2023,15/11/2023,Royal Power K352,MSC-E,7,100,0,1,48,Local,64.19,Sin observaciones,67.61,Global,6,D7,II,Sí,769.2,769.6,Con ZP,Fresco,622,5,Exitosa,EXITOSO
29/11/2023,22/11/2023,15/11/2023,Royal Power K352,MSC-E,7,100,0,1,48,Local,64.19,Sin observaciones,67.61,Global,6,D7,II,No,824,848,Con ZP,Fresco,354,5,Exitosa,EXITOSO
30/11/2023,22/11/2023,15/11/2023,Royal Power K352,MSC-E,7,100,0,1,48,Local,64.19,Sin observaciones,67.61,Global,6,D8,II,No,825.1,838,Con ZP,Fresco,271,4,Exitosa,EXITOSO
5/12/2023,28/11/2023,22/11/2023,Joly Coeur K411,FB-E,6,100,1,1,24,Extranjero,61.32,Sin observaciones,44.44,F12,6,D7,II,No,810.4,820,Con ZP,Fresco,557,5,Exitosa,EXITOSO
5/12/2023,28/11/2023,22/11/2023,Joly Coeur K411,FB-E,6,100,1,1,24,Extranjero,61.32,Sin observaciones,44.44,F12,6,D7,II,Sí,594.1,636.4,Con ZP,Fresco,752,5,Exitosa,EXITOSO
6/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D7,I,No,856.9,866.8,Con ZP,Fresco,369,5,Exitosa,EXITOSO
6/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D7,I,No,820.7,825,Con ZP,Fresco,274,5,Exitosa,EXITOSO
6/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D7,II,No,795.6,826.1,Con ZP,Fresco,C 73,5,Exitosa,EXITOSO
6/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D7,II,No,806.1,822.2,Con ZP,Fresco,501,5,Exitosa,EXITOSO
7/12/2023,28/11/2023,22/11/2023,Joly Coeur K411,FB-E,6,100,1,1,24,Extranjero,61.32,Sin observaciones,44.44,F12,6,D9,I,No,884.1,904.5,Con ZP,Fresco,389,4,Exitosa,SIN ÉXITO
7/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D8,I,No,908.8,916.3,Con ZP,Fresco,636,4,Exitosa,EXITOSO
7/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D8,II,No,796.4,818,Con ZP,Fresco,487,4,Exitosa,EXITOSO
7/12/2023,29/11/2023,23/11/2023,Jive K293,MSC-E,6,100,0,1,48,Local,62.48,Sin observaciones,53.33,F12,5,D8,III,Sí,662.1,716.3,Con ZP,Fresco,521,4,Exitosa,EXITOSO
7/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D7,I,No,833.3,839.8,Con ZP,Fresco,446,4,Exitosa,EXITOSO
7/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D7,II,Sí,837.4,845.6,Con ZP,Fresco,382,4,Exitosa,EXITOSO
7/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D7,II,No,780.6,799.6,Con ZP,Fresco,68,4,Exitosa,EXITOSO
8/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D8,III,No,,,Con ZP,Fresco,383,5,Exitosa,EXITOSO
8/12/2023,30/11/2023,23/11/2023,Zippy K207,MSC-E,7,100,0,1,72,Local,58.27,Sin observaciones,37.21,F12,6,D8,II,No,,,Con ZP,Fresco,360,5,Exitosa,EXITOSO
12/12/2023,5/12/2023,30/11/2023,Salpicada K348,FB-E,5,100,0,3,24,Extranjero,32.93,Sin observaciones,32.81,F12,6,D7,II,No,186.4,794,Con ZP,Fresco,169 LV,4,Exitosa,EXITOSO
13/12/2023,6/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,6,100,0,5,24,Local,39.61,Sin observaciones,29.03,F12,5,D7,II,Sí,685.3,714.6,Con ZP,Fresco,57,5,Exitosa,EXITOSO
14/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D7,II,No,864,957.2,Con ZP,Fresco,515,4,Exitosa,EXITOSO
14/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D7,II,No,728,728.1,Con ZP,Fresco,45,4,Exitosa,EXITOSO
14/12/2023,6/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,6,100,0,5,24,Local,39.61,Sin observaciones,29.03,F12,5,D8,III,Sí,687.3,742.4,Con ZP,Fresco,541,4,Exitosa,EXITOSO
15/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D8,II,No,852.6,861.5,Con ZP,Fresco,704,5,Exitosa,EXITOSO
15/12/2023,7/12/2023,30/11/2023,Polo Pureza Edit K119,MSC-E,7,100,0,5,48,Local,34.62,Sin observaciones,33.33,F12,5,D8,III,Sí,703.8,725.9,Con ZP,Fresco,481 LV,5,Exitosa,EXITOSO
19/12/2023,12/12/2023,6/12/2023,Soviética K265,MSC-E,6,100,0,1,24,Local,62,Sin observaciones,39.78,F12,6,D7,II,No,780.8,816.6,Con ZP,Fresco,393,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,7/12/2023,Urraca K347,FB-E,7,95,0,3,72,Extranjero,54.71,Sin observaciones,51.76,F12,5,D7,II,Sí,615.2,631,Con ZP,Fresco,552,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,7/12/2023,Urraca K347,FB-E,7,95,0,3,72,Extranjero,54.71,Sin observaciones,51.76,F12,5,D7,II,Sí,628.3,635.2,Con ZP,Fresco,180,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,7/12/2023,Urraca K347,FB-E,7,95,0,3,72,Extranjero,54.71,Sin observaciones,51.76,F12,5,D7,II,Sí,670.3,709,Con ZP,Fresco,2,4,Exitosa,EXITOSO
21/12/2023,14/12/2023,6/12/2023,Cornet Du Lys K414,FB-E,8,100,0,1,72,Extranjero,54.71,Sin observaciones,41.07,F12,5,D7,II,Sí,770.2,783.8,Con ZP,Fresco,261,4,Exitosa,EXITOSO
27/12/2023,20/12/2023,13/12/2023,A2 EMIRATOS K338,MSC-E,7,100,0,1,120,Extranjero,59.17,Sin observaciones,51,F12,5,D7,II,No,806.8,815.8,Con ZP,Fresco,376,5,Exitosa,EXITOSO
